[14:13:51] WARNING: C:/Users/Administrator/workspace/xgboost-win64_release_1.6.0/src/learner.cc:627:
Parameters: { "scale_pos_weight" } might not be used.
  This could be a false alarm, with some parameters getting used by language bindings but
  then being mistakenly passed down to XGBoost core, or some parameter actually being used
  but getting flagged wrongly here. Please open an issue if you find any such cases.
[0]	validation_0-mlogloss:1.68541
[46]	validation_0-mlogloss:0.33939
[47]	validation_0-mlogloss:0.33810
[48]	validation_0-mlogloss:0.33696
[49]	validation_0-mlogloss:0.33586
[50]	validation_0-mlogloss:0.33494
[51]	validation_0-mlogloss:0.33432
[52]	validation_0-mlogloss:0.33376
[53]	validation_0-mlogloss:0.33320
[54]	validation_0-mlogloss:0.33270
[55]	validation_0-mlogloss:0.33239
[56]	validation_0-mlogloss:0.33195
[57]	validation_0-mlogloss:0.33147
[58]	validation_0-mlogloss:0.33110
[59]	validation_0-mlogloss:0.33047
[60]	validation_0-mlogloss:0.33041
[61]	validation_0-mlogloss:0.32997
[62]	validation_0-mlogloss:0.32978
[63]	validation_0-mlogloss:0.32939
[64]	validation_0-mlogloss:0.32937
[65]	validation_0-mlogloss:0.32909
[66]	validation_0-mlogloss:0.32920
[67]	validation_0-mlogloss:0.32955
[68]	validation_0-mlogloss:0.32968
[69]	validation_0-mlogloss:0.32960
[70]	validation_0-mlogloss:0.32969
[71]	validation_0-mlogloss:0.32991
[72]	validation_0-mlogloss:0.32982
[73]	validation_0-mlogloss:0.32997
[74]	validation_0-mlogloss:0.33001
[75]	validation_0-mlogloss:0.33009
[76]	validation_0-mlogloss:0.33029
[77]	validation_0-mlogloss:0.33045
[78]	validation_0-mlogloss:0.33034
[79]	validation_0-mlogloss:0.33042
[80]	validation_0-mlogloss:0.33061
[81]	validation_0-mlogloss:0.33088
[82]	validation_0-mlogloss:0.33099
[83]	validation_0-mlogloss:0.33121
[84]	validation_0-mlogloss:0.33153
[85]	validation_0-mlogloss:0.33175
[86]	validation_0-mlogloss:0.33205
[87]	validation_0-mlogloss:0.33219
[88]	validation_0-mlogloss:0.33226
[89]	validation_0-mlogloss:0.33266
[90]	validation_0-mlogloss:0.33287
[91]	validation_0-mlogloss:0.33312
[92]	validation_0-mlogloss:0.33344
[93]	validation_0-mlogloss:0.33384
[94]	validation_0-mlogloss:0.33415
[95]	validation_0-mlogloss:0.33421
[96]	validation_0-mlogloss:0.33458
[97]	validation_0-mlogloss:0.33473
[98]	validation_0-mlogloss:0.33496
[99]	validation_0-mlogloss:0.33520
[100]	validation_0-mlogloss:0.33535
[101]	validation_0-mlogloss:0.33536
[102]	validation_0-mlogloss:0.33549
[103]	validation_0-mlogloss:0.33568
[104]	validation_0-mlogloss:0.33588
[105]	validation_0-mlogloss:0.33590
[106]	validation_0-mlogloss:0.33607
[107]	validation_0-mlogloss:0.33624
[108]	validation_0-mlogloss:0.33645
[109]	validation_0-mlogloss:0.33675
[110]	validation_0-mlogloss:0.33718
[111]	validation_0-mlogloss:0.33761
[112]	validation_0-mlogloss:0.33788
[113]	validation_0-mlogloss:0.33798
[114]	validation_0-mlogloss:0.33808
[115]	validation_0-mlogloss:0.33830
[116]	validation_0-mlogloss:0.33844
[117]	validation_0-mlogloss:0.33858
[118]	validation_0-mlogloss:0.33883
[119]	validation_0-mlogloss:0.33892
[120]	validation_0-mlogloss:0.33916
[121]	validation_0-mlogloss:0.33915
[122]	validation_0-mlogloss:0.33935
[123]	validation_0-mlogloss:0.33922
[124]	validation_0-mlogloss:0.33941
[125]	validation_0-mlogloss:0.33948
[126]	validation_0-mlogloss:0.33975
[127]	validation_0-mlogloss:0.34015
[128]	validation_0-mlogloss:0.34027
[129]	validation_0-mlogloss:0.34043
[130]	validation_0-mlogloss:0.34059
[131]	validation_0-mlogloss:0.34081
[132]	validation_0-mlogloss:0.34122
[133]	validation_0-mlogloss:0.34144
[134]	validation_0-mlogloss:0.34152
[135]	validation_0-mlogloss:0.34181
[136]	validation_0-mlogloss:0.34212
[137]	validation_0-mlogloss:0.34224
[138]	validation_0-mlogloss:0.34252
[139]	validation_0-mlogloss:0.34271
[140]	validation_0-mlogloss:0.34292
[141]	validation_0-mlogloss:0.34327
[142]	validation_0-mlogloss:0.34348
[143]	validation_0-mlogloss:0.34379
[144]	validation_0-mlogloss:0.34414
[145]	validation_0-mlogloss:0.34453
[146]	validation_0-mlogloss:0.34465
[147]	validation_0-mlogloss:0.34520
[148]	validation_0-mlogloss:0.34562
[149]	validation_0-mlogloss:0.34598
[150]	validation_0-mlogloss:0.34597
[151]	validation_0-mlogloss:0.34639
[152]	validation_0-mlogloss:0.34659
[153]	validation_0-mlogloss:0.34690
[154]	validation_0-mlogloss:0.34718
[155]	validation_0-mlogloss:0.34737
[156]	validation_0-mlogloss:0.34775
[157]	validation_0-mlogloss:0.34789
[158]	validation_0-mlogloss:0.34829
[159]	validation_0-mlogloss:0.34839
[160]	validation_0-mlogloss:0.34865
[161]	validation_0-mlogloss:0.34884
[162]	validation_0-mlogloss:0.34886
[163]	validation_0-mlogloss:0.34916
[164]	validation_0-mlogloss:0.34961
[165]	validation_0-mlogloss:0.34998
[166]	validation_0-mlogloss:0.35036
[167]	validation_0-mlogloss:0.35044
[168]	validation_0-mlogloss:0.35069
[169]	validation_0-mlogloss:0.35101
[170]	validation_0-mlogloss:0.35122
[171]	validation_0-mlogloss:0.35153
[172]	validation_0-mlogloss:0.35176
[173]	validation_0-mlogloss:0.35218
[174]	validation_0-mlogloss:0.35282
[175]	validation_0-mlogloss:0.35337
[176]	validation_0-mlogloss:0.35383
[177]	validation_0-mlogloss:0.35428
[178]	validation_0-mlogloss:0.35442
[179]	validation_0-mlogloss:0.35481
[180]	validation_0-mlogloss:0.35512
[181]	validation_0-mlogloss:0.35536
[182]	validation_0-mlogloss:0.35560
[183]	validation_0-mlogloss:0.35598
[184]	validation_0-mlogloss:0.35646
[185]	validation_0-mlogloss:0.35699
[186]	validation_0-mlogloss:0.35741
[187]	validation_0-mlogloss:0.35798
[188]	validation_0-mlogloss:0.35833
[189]	validation_0-mlogloss:0.35854
[190]	validation_0-mlogloss:0.35896
[191]	validation_0-mlogloss:0.35920
[192]	validation_0-mlogloss:0.35940
[193]	validation_0-mlogloss:0.35970
[194]	validation_0-mlogloss:0.36009
[195]	validation_0-mlogloss:0.36052
[196]	validation_0-mlogloss:0.36094
[197]	validation_0-mlogloss:0.36144
[198]	validation_0-mlogloss:0.36199
[199]	validation_0-mlogloss:0.36235
