[71]	validation_0-mlogloss:0.28321
[72]	validation_0-mlogloss:0.28328
[73]	validation_0-mlogloss:0.28307
[74]	validation_0-mlogloss:0.28316
[75]	validation_0-mlogloss:0.28311
[76]	validation_0-mlogloss:0.28315
[77]	validation_0-mlogloss:0.28311
[78]	validation_0-mlogloss:0.28343
[79]	validation_0-mlogloss:0.28322
[80]	validation_0-mlogloss:0.28332
[81]	validation_0-mlogloss:0.28348
[82]	validation_0-mlogloss:0.28377
[83]	validation_0-mlogloss:0.28386
[84]	validation_0-mlogloss:0.28412
[85]	validation_0-mlogloss:0.28437
[86]	validation_0-mlogloss:0.28459
[87]	validation_0-mlogloss:0.28457
[88]	validation_0-mlogloss:0.28475
[89]	validation_0-mlogloss:0.28521
[90]	validation_0-mlogloss:0.28536
[91]	validation_0-mlogloss:0.28549
[92]	validation_0-mlogloss:0.28576
[93]	validation_0-mlogloss:0.28609
[94]	validation_0-mlogloss:0.28627
[95]	validation_0-mlogloss:0.28647
[96]	validation_0-mlogloss:0.28656
[97]	validation_0-mlogloss:0.28693
[98]	validation_0-mlogloss:0.28692
[99]	validation_0-mlogloss:0.28726
[100]	validation_0-mlogloss:0.28754
[101]	validation_0-mlogloss:0.28759
[102]	validation_0-mlogloss:0.28785
[103]	validation_0-mlogloss:0.28804
[104]	validation_0-mlogloss:0.28838
[105]	validation_0-mlogloss:0.28858
[106]	validation_0-mlogloss:0.28871
[107]	validation_0-mlogloss:0.28913
[108]	validation_0-mlogloss:0.28947
[109]	validation_0-mlogloss:0.28972
[110]	validation_0-mlogloss:0.29003
[111]	validation_0-mlogloss:0.29003
[112]	validation_0-mlogloss:0.29025
[113]	validation_0-mlogloss:0.29026
[114]	validation_0-mlogloss:0.29035
[115]	validation_0-mlogloss:0.29055
[116]	validation_0-mlogloss:0.29092
[117]	validation_0-mlogloss:0.29143
[118]	validation_0-mlogloss:0.29158
[119]	validation_0-mlogloss:0.29178
[120]	validation_0-mlogloss:0.29212
[121]	validation_0-mlogloss:0.29219
[122]	validation_0-mlogloss:0.29227
[123]	validation_0-mlogloss:0.29265
[124]	validation_0-mlogloss:0.29291
[125]	validation_0-mlogloss:0.29325
[126]	validation_0-mlogloss:0.29334
[127]	validation_0-mlogloss:0.29369
[128]	validation_0-mlogloss:0.29415
[129]	validation_0-mlogloss:0.29437
[130]	validation_0-mlogloss:0.29476
[131]	validation_0-mlogloss:0.29500
[132]	validation_0-mlogloss:0.29553
[133]	validation_0-mlogloss:0.29570
[134]	validation_0-mlogloss:0.29590
[135]	validation_0-mlogloss:0.29617
[136]	validation_0-mlogloss:0.29640
[137]	validation_0-mlogloss:0.29694
[138]	validation_0-mlogloss:0.29715
[139]	validation_0-mlogloss:0.29754
